[dispatch] WELCOME  -> no handler
[dispatch] bct 3 8 0 0 0 0 0 0 0  -> handled
[dispatch] bct 3 9 1 0 0 0 0 0 0  -> handled
[dispatch] bct 3 10 1 0 1 0 0 0 0  -> handled
[dispatch] bct 3 11 1 0 0 0 0 0 0  -> handled
[dispatch] bct 3 12 0 0 0 0 0 0 0  -> handled
[dispatch] bct 3 13 0 0 0 0 0 0 0  -> handled
[dispatch] bct 3 14 0 1 0 1 1 0 0  -> handled
[dispatch] bct 3 15 1 0 1 0 0 0 0  -> handled
[dispatch] bct 3 16 0 1 0 0 0 0 0  -> handled
[dispatch] bct 3 17 0 0 0 1 0 0 0  -> handled
[dispatch] bct 3 18 0 1 0 0 0 0 0  -> handled
[dispatch] bct 3 19 1 0 0 0 0 0 0  -> handled
[dispatch] bct 3 20 0 0 0 0 0 0 0  -> handled
[dispatch] bct 3 21 0 0 0 0 0 0 1  -> handled
[dispatch] bct 3 22 0 0 0 0 0 0 0  -> handled
[dispatch] bct 3 23 0 0 0 0 0 0 0  -> handled
[dispatch] bct 3 24 0 0 0 0 0 0 0  -> handled
[dispatch] bct 3 25 2 1 0 0 0 0 0  -> handled
[dispatch] bct 3 26 0 0 0 1 0 2 1  -> handled
[dispatch] bct 3 27 1 0 0 0 0 0 0  -> handled
[dispatch] bct 3 28 0 1 0 1 0 0 0  -> handled
[dispatch] bct 3 29 0 0 0 0 0 0 0  -> handled
[dispatch] bct 4 0 1 2 0 0 0 1 0  -> handled
[dispatch] bct 4 1 0 1 0 0 0 0 0  -> handled
[dispatch] bct 4 2 1 0 0 0 0 0 0  -> handled
[dispatch] bct 4 3 0 0 0 0 0 0 0  -> handled
[dispatch] bct 4 4 1 1 0 0 0 0 0  -> handled
[dispatch] bct 4 5 0 0 0 0 0 0 0  -> handled
[dispatch] bct 4 6 0 0 0 0 0 1 0  -> handled
[dispatch] bct 4 7 0 0 0 0 0 1 0  -> handled
[dispatch] bct 4 8 0 0 0 0 1 0 0  -> handled
[dispatch] bct 4 9 0 2 0 0 0 0 0  -> handled
[dispatch] bct 4 10 0 1 0 1 0 0 0  -> handled
[dispatch] bct 4 11 1 0 0 0 0 0 0  -> handled
[dispatch] bct 4 12 2 0 1 0 0 1 0  -> handled
[dispatch] bct 4 13 0 0 0 0 0 0 0  -> handled
[dispatch] bct 4 14 0 1 0 0 0 0 0  -> handled
[dispatch] bct 4 15 1 1 0 0 0 0 0  -> handled
[dispatch] bct 4 16 2 0 0 0 0 0 0  -> handled
[dispatch] bct 4 17 1 0 0 0 0 0 0  -> handled
[dispatch] bct 4 18 1 0 0 0 0 0 0  -> handled
[dispatch] bct 4 19 0 1 0 1 0 0 0  -> handled
[dispatch] bct 4 20 1 0 0 0 0 0 0  -> handled
[dispatch] bct 4 21 1 0 0 0 0 0 0  -> handled
[dispatch] bct 4 22 1 1 0 0 1 0 0  -> handled
[dispatch] bct 4 23 0 0 0 0 0 0 0  -> handled
[dispatch] bct 4 24 1 1 0 0 0 0 0  -> handled
[dispatch] bct 4 25 2 0 0 1 0 0 0  -> handled
[dispatch] bct 4 26 1 0 0 0 1 0 0  -> handled
